

1.2727272727272727 --Median --1
1.2727272727272727  ----  1
1839 - F
2849 - F
3049 - G
3381 - I
3609 - G
5989 - D
6335 - CIA
6858 - K
7200 - A
8266 - E
9058 - JH
1839 - F
2849 - F
3049 - G
3381 - I
3609 - G
5989 - D
6335 - CIA
6858 - K
7200 - A
8266 - E
9058 - JH
1839 - F
2849 - F
3049 - G
3381 - I
3609 - G
5989 - D
6335 - CIA
6858 - K
7200 - A
8266 - E
9058 - JH
1839 - F
2849 - F
3049 - G
3381 - I
3609 - G
5989 - D
6335 - CIA
6858 - K
7200 - A
8266 - E
9058 - JH
1839 - F
2849 - F
3049 - G
3381 - I
3609 - G
5989 - D
6335 - CIA
6858 - K
7200 - A
8266 - E
9058 - JH
1839 - F
2849 - F
3049 - G
3381 - I
3609 - G
5989 - D
6335 - CIA
6858 - K
7200 - A
8266 - E
9058 - JH
1839 - F
2849 - F
3049 - G
3381 - I
3609 - G
5989 - D
6335 - CIA
6858 - K
7200 - A
8266 - E
9058 - JH
0.6363636363636364  ----  0
1839 - F
2849 - F
3049 - G
3381 - I
3609 - G
5989 - D
6335 - CIA
6858 - K
7200 - A
8266 - E
9058 - JH
0.6363636363636364  ----  0
1839 - F
2849 - F
3049 - G
3381 - I
3609 - G
5989 - D
6335 - CIA
6858 - K
7200 - A
8266 - E
9058 - JH
0.6363636363636364  ----  0
1839 - F
2849 - F
3049 - G
3381 - I
3609 - G
5989 - D
6335 - CIA
6858 - K
7200 - A
8266 - E
9058 - JH
1.1818181818181819  ----  1
1839 - F
2849 - F
3049 - G
3381 - I
3609 - G
5989 - D
6335 - CIA
6858 - K
7200 - A
8266 - E
9058 - JH
1.1818181818181819  ----  1
1839 - F
2849 - F
3049 - G
3381 - I
3609 - G
5989 - D
6335 - CIA
6858 - K
7200 - A
8266 - E
9058 - JH
1839 - F
2849 - F
3049 - G
3381 - I
3609 - G
5989 - D
6335 - CIA
6858 - K
7200 - A
8266 - E
9058 - JH
1839 - F
2849 - F
3049 - G
3381 - I
3609 - G
5989 - D
6335 - CIA
6858 - K
7200 - A
8266 - E
9058 - JH
1839 - F
2849 - F
3049 - G
3381 - I
3609 - G
5989 - D
6335 - CIA
6858 - K
7200 - A
8266 - E
9058 - JH
1839 - F
2849 - F
3049 - G
3381 - I
3609 - G
5989 - D
6335 - CIA
6858 - K
7200 - A
8266 - E
9058 - JH
1839 - F
2849 - F
3049 - G
3381 - I
3609 - G
5989 - D
6335 - CIA
6858 - K
7200 - A
8266 - E
9058 - JH
1839 - F
2849 - F
3049 - G
3381 - I
3609 - G
5989 - D
6335 - CIA
6858 - K
7200 - A
8266 - E
9058 - JH
1839 - F
2849 - F
3049 - G
3381 - I
3609 - G
5989 - D
6335 - CIA
6858 - K
7200 - A
8266 - E
9058 - JH
1839 - F
2849 - F
3049 - G
3381 - I
3609 - G
5989 - D
6335 - CIA
6858 - K
7200 - A
8266 - E
9058 - JH
1839 - F
2849 - F
3049 - G
3381 - I
3609 - G
5989 - D
6335 - CIA
6858 - K
7200 - A
8266 - E
9058 - JH
6335 - CIA
3049 - G
1839 - F
2849 - F
5989 - D
3609 - G
3381 - I
9058 - JH
6858 - K
8266 - E
7200 - A
6335 - CIA
3049 - G
1839 - F
2849 - F
5989 - D
3609 - G
3381 - I
9058 - JH
6858 - K
8266 - E
7200 - A
1.1818181818181819  ----  1
1.1818181818181819  ----  1
1.1818181818181819  ----  1
1.1818181818181819  ----  1
1.1818181818181819  ----  1
1.1818181818181819  ----  1
1.1818181818181819  ----  1
1.1818181818181819  ----  1
1.1818181818181819  ----  1
1.1818181818181819  ----  1
1.1818181818181819  ----  1
1.1818181818181819  ----  1
1.1818181818181819  ----  1
1.1818181818181819  ----  1
1.1818181818181819  ----  1
1.1818181818181819  ----  1
0.6363636363636364  ----  0
0.6363636363636364  ----  0
0.6363636363636364  ----  0
0.6363636363636364  ----  0
